schema_id,schema_family_id,schema_seed,selector_rule_id,selection_mode,ratio_numerator,ratio_denominator,max_iterations,iteration_index,component_count_before,candidate_edge_count,selected_edge_count,changed_union_count,component_count_after,block_id,iteration_status,stop_reason,diagnostic_status
plate_support_schema_source_local_ratio_iterated_001_over_072_i032_v001,source_local_ratio_iterated,0,plate_support_source_local_iterated_stable_rate_v001,quotient_source_representative_stable_rate,1,72,32,3,67,338,5,5,62,"('plate-support-source-local-ratio-iterated', 1, 72, 'plate_support_source_local_iterated_stable_rate_v001', 0, 3)",completed,,ok
plate_support_schema_source_local_ratio_iterated_001_over_072_i032_v001,source_local_ratio_iterated,0,plate_support_source_local_iterated_stable_rate_v001,quotient_source_representative_stable_rate,1,72,32,4,62,326,4,4,58,"('plate-support-source-local-ratio-iterated', 1, 72, 'plate_support_source_local_iterated_stable_rate_v001', 0, 4)",completed,,ok
plate_support_schema_source_local_ratio_iterated_001_over_072_i032_v001,source_local_ratio_iterated,0,plate_support_source_local_iterated_stable_rate_v001,quotient_source_representative_stable_rate,1,72,32,5,58,308,3,3,55,"('plate-support-source-local-ratio-iterated', 1, 72, 'plate_support_source_local_iterated_stable_rate_v001', 0, 5)",completed,,ok
plate_support_schema_source_local_ratio_iterated_001_over_072_i032_v001,source_local_ratio_iterated,0,plate_support_source_local_iterated_stable_rate_v001,quotient_source_representative_stable_rate,1,72,32,6,55,296,3,3,52,"('plate-support-source-local-ratio-iterated', 1, 72, 'plate_support_source_local_iterated_stable_rate_v001', 0, 6)",completed,,ok
plate_support_schema_source_local_ratio_iterated_001_over_072_i032_v001,source_local_ratio_iterated,0,plate_support_source_local_iterated_stable_rate_v001,quotient_source_representative_stable_rate,1,72,32,7,52,290,2,2,50,"('plate-support-source-local-ratio-iterated', 1, 72, 'plate_support_source_local_iterated_stable_rate_v001', 0, 7)",completed,,ok
plate_support_schema_source_local_ratio_iterated_001_over_072_i032_v001,source_local_ratio_iterated,0,plate_support_source_local_iterated_stable_rate_v001,quotient_source_representative_stable_rate,1,72,32,8,50,286,5,5,45,"('plate-support-source-local-ratio-iterated', 1, 72, 'plate_support_source_local_iterated_stable_rate_v001', 0, 8)",completed,,ok
plate_support_schema_source_local_ratio_iterated_001_over_072_i032_v001,source_local_ratio_iterated,0,plate_support_source_local_iterated_stable_rate_v001,quotient_source_representative_stable_rate,1,72,32,9,45,270,2,2,43,"('plate-support-source-local-ratio-iterated', 1, 72, 'plate_support_source_local_iterated_stable_rate_v001', 0, 9)",completed,,ok
plate_support_schema_source_local_ratio_iterated_001_over_072_i032_v001,source_local_ratio_iterated,0,plate_support_source_local_iterated_stable_rate_v001,quotient_source_representative_stable_rate,1,72,32,10,43,258,0,0,43,,stopped,no_selected_edges,ok
plate_support_schema_source_local_ratio_iterated_001_over_036_i032_v001,source_local_ratio_iterated,0,plate_support_source_local_iterated_stable_rate_v001,quotient_source_representative_stable_rate,1,36,32,0,89,388,16,16,73,"('plate-support-source-local-ratio-iterated', 1, 36, 'plate_support_source_local_iterated_stable_rate_v001', 0, 0)",completed,,ok
plate_support_schema_source_local_ratio_iterated_001_over_036_i032_v001,source_local_ratio_iterated,0,plate_support_source_local_iterated_stable_rate_v001,quotient_source_representative_stable_rate,1,36,32,1,73,356,9,9,64,"('plate-support-source-local-ratio-iterated', 1, 36, 'plate_support_source_local_iterated_stable_rate_v001', 0, 1)",completed,,ok
plate_support_schema_source_local_ratio_iterated_001_over_036_i032_v001,source_local_ratio_iterated,0,plate_support_source_local_iterated_stable_rate_v001,quotient_source_representative_stable_rate,1,36,32,2,64,334,9,9,55,"('plate-support-source-local-ratio-iterated', 1, 36, 'plate_support_source_local_iterated_stable_rate_v001', 0, 2)",completed,,ok
plate_support_schema_source_local_ratio_iterated_001_over_036_i032_v001,source_local_ratio_iterated,0,plate_support_source_local_iterated_stable_rate_v001,quotient_source_representative_stable_rate,1,36,32,3,55,302,7,7,48,"('plate-support-source-local-ratio-iterated', 1, 36, 'plate_support_source_local_iterated_stable_rate_v001', 0, 3)",completed,,ok
plate_support_schema_source_local_ratio_iterated_001_over_036_i032_v001,source_local_ratio_iterated,0,plate_support_source_local_iterated_stable_rate_v001,quotient_source_representative_stable_rate,1,36,32,4,48,270,5,5,43,"('plate-support-source-local-ratio-iterated', 1, 36, 'plate_support_source_local_iterated_stable_rate_v001', 0, 4)",completed,,ok
plate_support_schema_source_local_ratio_iterated_001_over_036_i032_v001,source_local_ratio_iterated,0,plate_support_source_local_iterated_stable_rate_v001,quotient_source_representative_stable_rate,1,36,32,5,43,242,8,8,35,"('plate-support-source-local-ratio-iterated', 1, 36, 'plate_support_source_local_iterated_stable_rate_v001', 0, 5)",completed,,ok
plate_support_schema_source_local_ratio_iterated_001_over_036_i032_v001,source_local_ratio_iterated,0,plate_support_source_local_iterated_stable_rate_v001,quotient_source_representative_stable_rate,1,36,32,6,35,210,3,3,32,"('plate-support-source-local-ratio-iterated', 1, 36, 'plate_support_source_local_iterated_stable_rate_v001', 0, 6)",completed,,ok
plate_support_schema_source_local_ratio_iterated_001_over_036_i032_v001,source_local_ratio_iterated,0,plate_support_source_local_iterated_stable_rate_v001,quotient_source_representative_stable_rate,1,36,32,7,32,196,4,4,28,"('plate-support-source-local-ratio-iterated', 1, 36, 'plate_support_source_local_iterated_stable_rate_v001', 0, 7)",completed,,ok
plate_support_schema_source_local_ratio_iterated_001_over_036_i032_v001,source_local_ratio_iterated,0,plate_support_source_local_iterated_stable_rate_v001,quotient_source_representative_stable_rate,1,36,32,8,28,156,7,6,22,"('plate-support-source-local-ratio-iterated', 1, 36, 'plate_support_source_local_iterated_stable_rate_v001', 0, 8)",completed,,ok
plate_support_schema_source_local_ratio_iterated_001_over_036_i032_v001,source_local_ratio_iterated,0,plate_support_source_local_iterated_stable_rate_v001,quotient_source_representative_stable_rate,1,36,32,9,22,110,4,4,18,"('plate-support-source-local-ratio-iterated', 1, 36, 'plate_support_source_local_iterated_stable_rate_v001', 0, 9)",completed,,ok
plate_support_schema_source_local_ratio_iterated_001_over_036_i032_v001,source_local_ratio_iterated,0,plate_support_source_local_iterated_stable_rate_v001,quotient_source_representative_stable_rate,1,36,32,10,18,84,0,0,18,,stopped,no_selected_edges,ok
plate_support_schema_source_local_ratio_iterated_001_over_018_i032_v001,source_local_ratio_iterated,0,plate_support_source_local_iterated_stable_rate_v001,quotient_source_representative_stable_rate,1,18,32,0,89,388,27,25,64,"('plate-support-source-local-ratio-iterated', 1, 18, 'plate_support_source_local_iterated_stable_rate_v001', 0, 0)",completed,,ok
plate_support_schema_source_local_ratio_iterated_001_over_018_i032_v001,source_local_ratio_iterated,0,plate_support_source_local_iterated_stable_rate_v001,quotient_source_representative_stable_rate,1,18,32,1,64,332,15,14,50,"('plate-support-source-local-ratio-iterated', 1, 18, 'plate_support_source_local_iterated_stable_rate_v001', 0, 1)",completed,,ok
plate_support_schema_source_local_ratio_iterated_001_over_018_i032_v001,source_local_ratio_iterated,0,plate_support_source_local_iterated_stable_rate_v001,quotient_source_representative_stable_rate,1,18,32,2,50,294,21,17,33,"('plate-support-source-local-ratio-iterated', 1, 18, 'plate_support_source_local_iterated_stable_rate_v001', 0, 2)",completed,,ok
plate_support_schema_source_local_ratio_iterated_001_over_018_i032_v001,source_local_ratio_iterated,0,plate_support_source_local_iterated_stable_rate_v001,quotient_source_representative_stable_rate,1,18,32,3,33,190,12,10,23,"('plate-support-source-local-ratio-iterated', 1, 18, 'plate_support_source_local_iterated_stable_rate_v001', 0, 3)",completed,,ok
plate_support_schema_source_local_ratio_iterated_001_over_018_i032_v001,source_local_ratio_iterated,0,plate_support_source_local_iterated_stable_rate_v001,quotient_source_representative_stable_rate,1,18,32,4,23,122,4,4,19,"('plate-support-source-local-ratio-iterated', 1, 18, 'plate_support_source_local_iterated_stable_rate_v001', 0, 4)",completed,,ok
plate_support_schema_source_local_ratio_iterated_001_over_018_i032_v001,source_local_ratio_iterated,0,plate_support_source_local_iterated_stable_rate_v001,quotient_source_representative_stable_rate,1,18,32,5,19,98,6,6,13,"('plate-support-source-local-ratio-iterated', 1, 18, 'plate_support_source_local_iterated_stable_rate_v001', 0, 5)",completed,,ok
plate_support_schema_source_local_ratio_iterated_001_over_018_i032_v001,source_local_ratio_iterated,0,plate_support_source_local_iterated_stable_rate_v001,quotient_source_representative_stable_rate,1,18,32,6,13,40,1,1,12,"('plate-support-source-local-ratio-iterated', 1, 18, 'plate_support_source_local_iterated_stable_rate_v001', 0, 6)",completed,,ok
plate_support_schema_source_local_ratio_iterated_001_over_018_i032_v001,source_local_ratio_iterated,0,plate_support_source_local_iterated_stable_rate_v001,quotient_source_representative_stable_rate,1,18,32,7,12,38,1,1,11,"('plate-support-source-local-ratio-iterated', 1, 18, 'plate_support_source_local_iterated_stable_rate_v001', 0, 7)",completed,,ok
plate_support_schema_source_local_ratio_iterated_001_over_018_i032_v001,source_local_ratio_iterated,0,plate_support_source_local_iterated_stable_rate_v001,quotient_source_representative_stable_rate,1,18,32,8,11,36,2,2,9,"('plate-support-source-local-ratio-iterated', 1, 18, 'plate_support_source_local_iterated_stable_rate_v001', 0, 8)",completed,,ok
plate_support_schema_source_local_ratio_iterated_001_over_018_i032_v001,source_local_ratio_iterated,0,plate_support_source_local_iterated_stable_rate_v001,quotient_source_representative_stable_rate,1,18,32,9,9,32,1,1,8,"('plate-support-source-local-ratio-iterated', 1, 18, 'plate_support_source_local_iterated_stable_rate_v001', 0, 9)",completed,,ok
plate_support_schema_source_local_ratio_iterated_001_over_018_i032_v001,source_local_ratio_iterated,0,plate_support_source_local_iterated_stable_rate_v001,quotient_source_representative_stable_rate,1,18,32,10,8,28,3,3,5,"('plate-support-source-local-ratio-iterated', 1, 18, 'plate_support_source_local_iterated_stable_rate_v001', 0, 10)",completed,,ok
plate_support_schema_source_local_ratio_iterated_001_over_018_i032_v001,source_local_ratio_iterated,0,plate_support_source_local_iterated_stable_rate_v001,quotient_source_representative_stable_rate,1,18,32,11,5,18,0,0,5,,stopped,no_selected_edges,ok
